DOT,x,y,star name,desig,view,const,name2,id1,elat,elong,dec,RA,Mag,
28,63.38372,133.7863,,HR 392,p,Cet,HIP 6432,HIP 6432,-6.46643162,19.73315074,1.726187942,20.656586845,6.2,
64,0,0,Spica,HIP 65474,z,Vir,Spica,HIP 65474,-2.05468189,203.8387318,-11.1605214,-158.7043076,0.95,3 Virgo
58,0,0,Arcturus,HIP 69673,z,Boo,Arcturus,HIP 69673,30.71553411,204.2302913,19.16440114,-146.095912,0.15,Bootes
44,0,0,Syrma,HIP 69701,z,Vir,Syrma,HIP 69701,7.196383901,213.7945103,-6.00259379,-145.9999239,4.05,
24,95.72604,118.7353,Alpherg,HR 437,p,Psc,Alpherg,HIP 7097,5.378117061,26.81899773,15.34735745,22.873628886,7.5,
65,0,0,Zubenelgenubi,HIP 72622,z,Lib,Zubenelgenubi,HIP 72622,0.332309911,225.0778874,-16.0411028,-137.2853445,2.75,4 Libra
56,0,0,Caph,HIP 746,z,Cas,Caph,HIP 746,51.2215891,35.12856093,59.15962753,2.2976013387,2.25,Calendar 
44,0,0,Acrab,HIP 78820,z,Sco,Acrab,HIP 78820,1.007570026,243.1848227,-19.8046451,-118.6461626,2.59,
23,70.8448,117.6285,,HR 489,p,Psc,ν Psc,HIP 7884,-4.69444433,25.5089799,5.488188234,25.360276799,4.45,
69,0,0,Antares,HIP 80763,z,Sco,Antares,HIP 80763,-4.57000141,249.7567861,-26.4312042,-112.6541497,1.04,8 Scorpio
51,0,0,Vega,HIP 91262,z,Lyr,Vega,HIP 91262,61.73672951,285.3068417,38.7869209,-80.77167827,0,Calendar
68,0,0,Nunki,HIP 92855,z,Sgr,Nunki,HIP 92855,-3.45006572,282.3797355,-26.2977879,-76.18978347,2.05,7 Sagitarius
59,0,0,Altair,HIP 97649,z,Aql,Altair,HIP 97649,29.30697265,301.7761452,8.871712428,-62.30515852,0.75,Eagle?
21,119.1031,102.6168,Hamal,HR 617,p,Ari,Hamal,HIP 9884,9.964961307,37.66700911,23.46380209,31.797982866,2,"22 HR 617   9884    α Ari   Ari     Applied in recent times from the Arabic constellation name, al-hamal, ""the Lamb for Aries. al-hamal seems to belong to those zodiacal constellation names already known in Arabic times."""
14,154.2186,44.34876,,,,0,0,,0,0,0,0,0,
17,38.3646,81.51411,,,,,,,0,0,0,0,18,
